timestamp,velocity_mps,steering_angle_rad,steering_angle_deg
1771528716.8878324,0.0,0.0,0.0
1771528717.3394458,0.0,0.0,0.0
1771528717.5666983,0.0,0.0,0.0
1771528717.6007316,0.0,0.0,0.0
1771528717.623528,0.0,0.0,0.0
1771528717.6403394,0.0,0.0,0.0
1771528717.6617322,0.0,0.0,0.0
1771528717.6864142,0.0,0.0,0.0
1771528717.7084,0.0,0.0,0.0
1771528717.7230935,0.0,0.0,0.0
1771528717.7477758,0.0,0.0,0.0
1771528717.767737,0.0,0.0,0.0
1771528717.791516,0.0,0.0,0.0
1771528717.8177292,0.0,0.0,0.0
1771528717.8307412,0.0,0.0,0.0
1771528717.8449934,0.0,0.0,0.0
1771528717.8626342,0.0,0.0,0.0
1771528717.8897038,0.0,0.0,0.0
1771528717.910705,0.0,0.0,0.0
1771528717.9256313,0.0,0.0,0.0
1771528717.9443066,0.0,0.0,0.0
1771528717.9628174,0.0,0.0,0.0
1771528717.9753728,0.0,0.0,0.0
1771528717.9873295,0.0,0.0,0.0
1771528718.008529,0.0,0.0,0.0
1771528718.0205445,0.0,0.0,0.0
1771528718.0321708,0.0,0.0,0.0
1771528718.0439513,0.0,0.0,0.0
1771528718.0625823,0.0,0.0,0.0
1771528718.0779443,0.0,0.0,0.0
1771528718.1047347,0.0,0.0,0.0
1771528718.1183038,0.0,0.0,0.0
1771528718.1328561,0.0,0.0,0.0
1771528718.1521194,0.0,0.0,0.0
1771528718.1679819,0.0,0.0,0.0
1771528718.1792965,0.0,0.0,0.0
1771528718.1925116,0.0,0.0,0.0
1771528718.2043755,0.0,0.0,0.0
1771528718.2167015,0.0,0.0,0.0
1771528718.2288058,0.0,0.0,0.0
1771528718.2434392,0.0,0.0,0.0
1771528718.2583923,0.0,0.0,0.0
1771528718.2727556,0.0,0.0,0.0
1771528718.2931955,0.0,0.0,0.0
1771528718.307962,0.0,0.0,0.0
1771528718.3306642,0.0,0.0,0.0
1771528718.3508012,0.0,0.0,0.0
1771528718.3634713,0.0,0.0,0.0
1771528718.3755965,0.0,0.0,0.0
1771528718.3904293,0.0,0.0,0.0
1771528718.4071493,0.0,0.0,0.0
1771528718.4231346,0.0,0.0,0.0
1771528718.4360669,0.0,0.0,0.0
1771528718.4509075,0.0,0.0,0.0
1771528718.4632454,0.0,0.0,0.0
1771528718.4753392,0.0,0.0,0.0
1771528718.487871,0.0,0.0,0.0
1771528718.5009904,0.0,0.0,0.0
1771528718.5121865,0.0,0.0,0.0
1771528718.5262318,0.0,0.0,0.0
1771528718.5449028,0.0,0.0,0.0
1771528718.5692306,0.0,0.0,0.0
1771528718.5904524,0.0,0.0,0.0
1771528718.6055949,0.0,0.0,0.0
1771528718.6304574,0.0,0.0,0.0
1771528718.6517894,0.0,0.0,0.0
1771528718.6652591,0.0,0.0,0.0
1771528718.6778443,0.0,0.0,0.0
1771528718.6902454,0.0,0.0,0.0
1771528718.709127,0.0,0.0,0.0
1771528718.7206676,0.0,0.0,0.0
1771528718.7352383,0.0,0.0,0.0
1771528718.747308,0.0,0.0,0.0
1771528718.76244,0.0,0.0,0.0
1771528718.7740316,0.0,0.0,0.0
1771528718.788442,0.0,0.0,0.0
1771528718.8037407,0.0,0.0,0.0
1771528718.8149068,0.0,0.0,0.0
1771528718.8305178,0.0,0.0,0.0
1771528718.8426456,0.0,0.0,0.0
1771528718.8571372,0.0,0.0,0.0
1771528718.8744924,0.0,0.0,0.0
1771528718.886656,0.0,0.0,0.0
1771528718.8981833,0.0,0.0,0.0
1771528718.9101048,0.0,0.0,0.0
1771528718.922397,0.0,0.0,0.0
1771528718.9355364,0.0,0.0,0.0
1771528718.9469507,0.0,0.0,0.0
1771528718.959496,0.0,0.0,0.0
1771528718.9745162,0.0,0.0,0.0
1771528718.985831,0.0,0.0,0.0
1771528719.0101721,0.0,0.0,0.0
1771528719.021502,0.0,0.0,0.0
1771528719.0331976,0.0,0.0,0.0
1771528719.0452683,0.0,0.0,0.0
1771528719.0576744,0.0,0.0,0.0
1771528719.0708828,0.0,0.0,0.0
1771528719.0822542,0.0,0.0,0.0
1771528719.094216,0.0,0.0,0.0
1771528719.108893,0.0,0.0,0.0
1771528719.1234784,0.0,0.0,0.0
1771528719.1378229,0.0,0.0,0.0
1771528719.149362,0.0,0.0,0.0
1771528719.1616216,0.0,0.0,0.0
1771528719.1750474,0.0,0.0,0.0
1771528719.1929398,0.0,0.0,0.0
1771528719.2141092,0.0,0.0,0.0
1771528719.2257743,0.0,0.0,0.0
1771528719.2385838,0.0,0.0,0.0
1771528719.25058,0.0,0.0,0.0
1771528719.2671423,0.0,0.0,0.0
1771528719.2846446,0.0,0.0,0.0
1771528719.296721,0.0,0.0,0.0
1771528719.3129306,0.0,0.0,0.0
1771528719.3247864,0.0,0.0,0.0
1771528719.3387883,0.0,0.0,0.0
1771528719.3521922,0.0,0.0,0.0
1771528719.365759,0.0,0.0,0.0
1771528719.3840535,0.0,0.0,0.0
1771528719.3959718,0.0,0.0,0.0
1771528719.4078255,0.0,0.0,0.0
1771528719.419209,0.0,0.0,0.0
1771528719.4306831,0.0,0.0,0.0
1771528719.4432127,0.0,0.0,0.0
1771528719.454831,0.0,0.0,0.0
1771528719.4677851,0.0,0.0,0.0
1771528719.480978,0.0,0.0,0.0
1771528719.492165,0.0,0.0,0.0
1771528719.5072784,0.0,0.0,0.0
1771528719.5186877,0.0,0.0,0.0
1771528719.5309267,0.0,0.0,0.0
1771528719.5423853,0.0,0.0,0.0
1771528719.5534647,0.0,0.0,0.0
1771528719.564491,0.0,0.0,0.0
1771528719.5753746,0.0,0.0,0.0
