timestamp,tag_id,x,y,z,quality
1771539411.3119013,0,5.353,0.225,0.165,29
1771539411.3119013,1,5.458,0.341,0.468,36
1771539411.349439,0,5.353,0.225,0.165,29
1771539411.349439,1,5.458,0.341,0.468,36
1771539411.3881705,0,5.331,0.175,0.168,31
1771539411.3881705,1,5.44,0.339,0.464,37
1771539411.4062197,0,5.331,0.175,0.168,31
1771539411.4062197,1,5.44,0.339,0.464,37
1771539411.4672775,0,5.331,0.175,0.168,31
1771539411.4672775,1,5.44,0.339,0.464,37
1771539411.5135262,0,5.328,0.171,0.195,33
1771539411.5135262,1,5.42,0.337,0.441,35
1771539411.545553,0,5.328,0.171,0.195,33
1771539411.545553,1,5.42,0.337,0.441,35
1771539411.5791233,0,5.314,0.173,0.187,30
1771539411.5791233,1,5.402,0.324,0.465,42
1771539411.6159272,0,5.314,0.173,0.187,30
1771539411.6159272,1,5.402,0.324,0.465,42
1771539411.6340554,0,5.314,0.173,0.187,30
1771539411.6340554,1,5.402,0.324,0.465,42
1771539411.6636233,0,5.314,0.173,0.187,30
1771539411.6636233,1,5.402,0.324,0.465,42
1771539411.6984997,0,5.302,0.18,0.179,29
1771539411.6984997,1,5.399,0.336,0.448,35
1771539411.7379587,0,5.302,0.18,0.179,29
1771539411.7379587,1,5.399,0.336,0.448,35
1771539411.7629936,0,5.289,0.191,0.182,31
1771539411.7629936,1,5.399,0.336,0.448,35
1771539411.7864175,0,5.289,0.191,0.182,31
1771539411.7864175,1,5.369,0.337,0.442,39
1771539411.801957,0,5.289,0.191,0.182,31
1771539411.801957,1,5.369,0.337,0.442,39
1771539411.8326259,0,5.289,0.191,0.182,31
1771539411.8326259,1,5.369,0.337,0.442,39
1771539411.8541384,0,5.289,0.191,0.182,31
1771539411.8541384,1,5.369,0.337,0.442,39
1771539411.8825748,0,5.271,0.198,0.191,33
1771539411.8825748,1,5.36,0.338,0.425,36
1771539411.898074,0,5.271,0.198,0.191,33
1771539411.898074,1,5.36,0.338,0.425,36
1771539411.9223442,0,5.271,0.198,0.191,33
1771539411.9223442,1,5.36,0.338,0.425,36
1771539411.9453619,0,5.271,0.198,0.191,33
1771539411.9453619,1,5.36,0.338,0.425,36
1771539411.9970808,0,5.262,0.211,0.196,32
1771539411.9970808,1,5.36,0.338,0.425,36
1771539412.0322235,0,5.262,0.211,0.196,32
1771539412.0322235,1,5.352,0.352,0.425,37
1771539412.063346,0,5.262,0.211,0.196,32
1771539412.063346,1,5.338,0.367,0.413,36
1771539412.1424916,0,5.268,0.215,0.194,30
1771539412.1424916,1,5.338,0.367,0.413,36
1771539412.171854,0,5.268,0.215,0.194,30
1771539412.171854,1,5.325,0.387,0.393,34
1771539412.2336614,0,5.249,0.216,0.193,32
1771539412.2336614,1,5.325,0.387,0.393,34
1771539412.2678497,0,5.249,0.216,0.193,32
1771539412.2678497,1,5.322,0.388,0.386,35
1771539412.2921505,0,5.239,0.209,0.204,34
1771539412.2921505,1,5.322,0.388,0.386,35
1771539412.317538,0,5.239,0.209,0.204,34
1771539412.317538,1,5.322,0.388,0.386,35
1771539412.367696,0,5.239,0.209,0.204,34
1771539412.367696,1,5.322,0.388,0.386,35
1771539412.3990817,0,5.227,0.199,0.23,37
1771539412.3990817,1,5.308,0.374,0.382,37
1771539412.4789448,0,5.24,0.201,0.222,31
1771539412.4789448,1,5.3,0.366,0.396,39
1771539412.5139275,0,5.24,0.201,0.222,31
1771539412.5139275,1,5.3,0.366,0.396,39
1771539412.530755,0,5.24,0.201,0.222,31
1771539412.530755,1,5.3,0.366,0.396,39
1771539412.5475945,0,5.24,0.201,0.222,31
1771539412.5475945,1,5.3,0.366,0.396,39
1771539412.5681856,0,5.24,0.201,0.222,31
1771539412.5681856,1,5.3,0.366,0.396,39
1771539412.6442375,0,5.226,0.197,0.23,35
1771539412.6442375,1,5.292,0.367,0.392,37
1771539412.6944368,0,5.227,0.204,0.219,31
1771539412.6944368,1,5.294,0.377,0.424,42
1771539412.7172549,0,5.227,0.204,0.219,31
1771539412.7172549,1,5.294,0.377,0.424,42
1771539412.7444324,0,5.227,0.204,0.219,31
1771539412.7444324,1,5.294,0.377,0.424,42
1771539412.7701974,0,5.208,0.205,0.216,34
1771539412.7701974,1,5.294,0.377,0.424,42
1771539412.8177924,0,5.208,0.205,0.216,34
1771539412.8177924,1,5.272,0.375,0.397,36
1771539412.8433597,0,5.208,0.205,0.216,34
1771539412.8433597,1,5.272,0.375,0.397,36
1771539412.9523673,0,5.204,0.202,0.21,32
1771539412.9523673,1,5.252,0.383,0.401,40
1771539412.99523,0,5.186,0.207,0.198,32
1771539412.99523,1,5.252,0.383,0.401,40
1771539413.130533,0,5.181,0.196,0.201,34
1771539413.130533,1,5.235,0.399,0.4,38
1771539413.1777875,0,5.176,0.22,0.199,33
1771539413.1777875,1,5.235,0.399,0.4,38
1771539413.2257404,0,5.176,0.22,0.199,33
1771539413.2257404,1,5.228,0.395,0.417,42
1771539413.2681625,0,5.176,0.22,0.199,33
1771539413.2681625,1,5.228,0.395,0.417,42
1771539413.3109424,0,5.158,0.23,0.204,35
1771539413.3109424,1,5.206,0.38,0.417,41
1771539413.3442092,0,5.158,0.23,0.204,35
1771539413.3442092,1,5.206,0.38,0.417,41
1771539413.472925,0,5.117,0.246,0.18,35
1771539413.472925,1,5.206,0.38,0.417,41
1771539413.499793,0,5.117,0.246,0.18,35
1771539413.499793,1,5.163,0.401,0.379,39
1771539413.5497065,0,5.117,0.246,0.18,35
1771539413.5497065,1,5.163,0.401,0.379,39
1771539413.6124413,0,5.1,0.263,0.163,31
1771539413.6124413,1,5.163,0.401,0.379,39
1771539413.6459503,0,5.1,0.263,0.163,31
1771539413.6459503,1,5.149,0.393,0.383,41
1771539413.6833775,0,5.09,0.257,0.164,34
1771539413.6833775,1,5.149,0.393,0.383,41
1771539413.75596,0,5.09,0.257,0.164,34
1771539413.75596,1,5.149,0.393,0.383,41
1771539413.8121676,0,5.09,0.257,0.164,34
1771539413.8121676,1,5.132,0.399,0.381,40
1771539413.8453717,0,5.07,0.267,0.108,26
1771539413.8453717,1,5.132,0.399,0.381,40
1771539413.873648,0,5.038,0.272,0.125,36
1771539413.873648,1,5.132,0.399,0.381,40
1771539413.9325924,0,5.038,0.272,0.125,36
1771539413.9325924,1,5.092,0.423,0.356,38
1771539413.9750888,0,5.039,0.273,0.13,33
1771539413.9750888,1,5.092,0.423,0.356,38
1771539414.0069976,0,5.039,0.273,0.13,33
1771539414.0069976,1,5.092,0.423,0.356,38
1771539414.029217,0,5.039,0.273,0.13,33
1771539414.029217,1,5.063,0.427,0.365,43
1771539414.052063,0,5.039,0.273,0.13,33
1771539414.052063,1,5.063,0.427,0.365,43
1771539414.08235,0,5.039,0.273,0.13,33
1771539414.08235,1,5.063,0.427,0.365,43
1771539414.1233761,0,5.026,0.271,0.131,34
1771539414.1233761,1,5.063,0.427,0.365,43
1771539414.1713448,0,5.026,0.271,0.131,34
1771539414.1713448,1,5.055,0.44,0.356,39
1771539414.2025394,0,5.026,0.271,0.131,34
1771539414.2025394,1,5.055,0.44,0.356,39
1771539414.2438805,0,5.02,0.266,0.128,33
1771539414.2438805,1,5.055,0.44,0.356,39
1771539414.2920842,0,5.02,0.266,0.128,33
1771539414.2920842,1,5.045,0.416,0.381,45
1771539414.33309,0,5.02,0.266,0.128,33
1771539414.33309,1,5.045,0.416,0.381,45
1771539414.3593154,0,5.02,0.266,0.128,33
1771539414.3593154,1,5.034,0.427,0.386,42
1771539414.386188,0,5.02,0.266,0.128,33
1771539414.386188,1,5.034,0.427,0.386,42
1771539414.432768,0,4.996,0.234,0.158,40
1771539414.432768,1,5.017,0.443,0.383,42
1771539414.4881535,0,4.996,0.234,0.158,40
1771539414.4881535,1,5.017,0.443,0.383,42
1771539414.5236511,0,4.996,0.234,0.158,40
1771539414.5236511,1,5.017,0.443,0.383,42
1771539414.5471187,0,5.024,0.24,0.15,31
1771539414.5471187,1,4.998,0.461,0.394,44
1771539414.5874405,0,4.997,0.245,0.17,39
1771539414.5874405,1,4.998,0.461,0.394,44
1771539414.62589,0,4.997,0.245,0.17,39
1771539414.62589,1,5.009,0.459,0.418,45
1771539414.6668873,0,4.997,0.245,0.17,39
1771539414.6668873,1,5.009,0.459,0.418,45
1771539414.7414339,0,4.986,0.262,0.181,37
1771539414.7414339,1,5.007,0.448,0.444,48
