timestamp,tag_id,x,y,z,quality
1771616871.7821615,0,3.012,3.214,1.677,94
1771616871.7821615,1,2.898,3.042,1.713,98
1771616873.151644,0,2.925,3.293,1.526,94
1771616873.151644,1,2.92,3.025,1.732,97
1771616873.600505,0,3.039,3.188,1.528,92
1771616873.600505,1,2.911,3.033,1.846,98
1771616873.636258,0,2.999,3.226,1.504,93
1771616873.636258,1,2.911,3.033,1.846,98
1771616873.6630552,0,2.999,3.226,1.504,93
1771616873.6630552,1,2.9,3.044,1.78,95
1771616874.0100603,0,3.07,3.161,1.703,97
1771616874.0100603,1,2.899,3.049,1.675,95
1771616874.0269973,0,3.07,3.161,1.703,97
1771616874.0269973,1,2.899,3.049,1.675,95
1771616874.0443277,0,3.07,3.161,1.703,97
1771616874.0443277,1,2.897,3.053,1.699,96
1771616874.0598295,0,3.07,3.161,1.703,97
1771616874.0598295,1,2.897,3.053,1.699,96
1771616874.0807586,0,3.07,3.161,1.703,97
1771616874.0807586,1,2.897,3.053,1.699,96
1771616874.0956795,0,3.07,3.161,1.703,97
1771616874.0956795,1,2.897,3.053,1.699,96
1771616874.1178937,0,2.918,3.272,1.78,98
1771616874.1178937,1,2.897,3.053,1.699,96
1771616874.141813,0,2.918,3.272,1.78,98
1771616874.141813,1,2.898,3.052,1.728,97
1771616874.171697,0,2.918,3.272,1.78,98
1771616874.171697,1,2.898,3.052,1.728,97
1771616874.5458992,0,2.896,3.301,1.612,92
1771616874.5458992,1,2.911,3.04,1.644,94
1771616874.562284,0,2.896,3.301,1.612,92
1771616874.562284,1,2.911,3.04,1.644,94
1771616874.5806432,0,2.896,3.301,1.612,92
1771616874.5806432,1,2.911,3.04,1.644,94
1771616874.597777,0,2.896,3.301,1.612,92
1771616874.597777,1,2.911,3.04,1.644,94
1771616874.6146169,0,2.942,3.279,1.63,95
1771616874.6146169,1,2.911,3.04,1.644,94
1771616874.6329968,0,2.942,3.279,1.63,95
1771616874.6329968,1,2.917,3.038,1.719,97
1771616874.6495235,0,2.942,3.279,1.63,95
1771616874.6495235,1,2.917,3.038,1.719,97
1771616874.6662972,0,2.942,3.279,1.63,95
1771616874.6662972,1,2.917,3.038,1.719,97
1771616874.6853921,0,2.942,3.279,1.63,95
1771616874.6853921,1,2.917,3.038,1.719,97
1771616875.046523,0,2.97,3.254,1.553,92
1771616875.046523,1,2.919,3.046,1.725,95
1771616875.0656729,0,2.97,3.254,1.553,92
1771616875.0656729,1,2.919,3.046,1.725,95
1771616875.0892918,0,2.97,3.254,1.553,92
1771616875.0892918,1,2.919,3.046,1.725,95
1771616875.1054096,0,2.988,3.229,1.643,97
1771616875.1054096,1,2.919,3.046,1.725,95
1771616875.1248782,0,2.988,3.229,1.643,97
1771616875.1248782,1,2.919,3.046,1.725,95
1771616875.1496856,0,2.988,3.229,1.643,97
1771616875.1496856,1,2.919,3.046,1.773,97
1771616875.17453,0,2.988,3.229,1.643,97
1771616875.17453,1,2.919,3.046,1.773,97
1771616875.2039828,0,2.988,3.229,1.643,97
1771616875.2039828,1,2.919,3.046,1.773,97
1771616875.6590137,0,2.915,3.301,1.575,92
