timestamp,x1,y1,z1,quality1,x2,y2,z2,quality2
1762899119.6382737,,,,,,,,
1762899120.959973,,,,,,,,
1762899121.6748605,,,,,,,,
1762899121.9263701,,,,,,,,
1762899122.1674457,,,,,,,,
1762899122.5103025,,,,,,,,
1762899122.7896502,,,,,,,,
1762899123.0670052,,,,,,,,
1762899123.4792387,3.05,4.24,1.07,84,,,,
1762899123.7189965,3.08,4.22,1.09,94,,,,
1762899123.9746883,3.08,4.17,1.06,88,,,,
1762899124.2838268,3.02,4.22,1.08,90,,,,
1762899124.5319717,3.05,4.2,1.09,91,,,,
1762899124.7692444,3.05,4.1,1.05,88,,,,
1762899125.0154338,3.05,4.13,1.18,91,,,,
1762899125.2665558,3.11,4.14,1.11,87,,,,
1762899125.501858,3.1,4.11,1.19,91,,,,
1762899125.7361386,3.05,4.17,1.09,84,,,,
1762899125.967375,3.01,4.18,1.05,85,,,,
1762899126.223892,3.04,4.19,1.19,94,,,,
1762899126.6029377,3.02,4.21,1.12,90,,,,
1762899126.8620615,3.02,4.17,1.14,95,,,,
1762899127.1203268,3.1,4.14,1.17,94,,,,
1762899127.5308127,3.12,4.14,1.18,91,2.86,4.22,0.91,84
1762899127.7804031,3.14,4.14,1.23,95,2.87,4.22,0.91,86
1762899128.0462644,3.19,4.14,1.23,94,2.87,4.22,0.97,86
1762899128.313173,3.08,4.22,1.07,84,2.88,4.21,0.98,87
1762899128.571841,3.08,4.14,1.07,90,2.88,4.22,0.97,88
1762899128.8334603,3.13,4.13,1.22,94,2.87,4.22,0.92,84
1762899129.1187923,3.12,4.15,1.19,95,2.87,4.22,1.07,92
1762899129.390308,3.19,4.15,1.26,95,2.87,4.21,1.07,88
1762899129.6518583,3.22,4.15,1.3,95,2.75,4.35,0.98,69
1762899129.9043324,3.17,4.16,1.21,91,2.79,4.31,0.94,84
1762899130.1672544,3.13,4.15,1.24,90,2.83,4.28,0.94,85
1762899130.423326,3.14,4.15,1.17,91,2.85,4.25,0.94,86
1762899130.70945,3.1,4.19,1.1,84,2.87,4.23,0.96,86
1762899130.9653547,3.08,4.21,1.07,92,2.87,4.22,0.97,87
1762899131.2246377,3.16,4.18,1.14,94,2.85,4.23,0.96,86
1762899131.489658,3.21,4.17,1.19,93,2.85,4.22,0.94,84
1762899131.7514067,3.23,4.16,1.18,93,2.86,4.21,1.04,86
1762899131.9981956,3.18,4.11,1.24,94,2.86,4.22,0.98,86
1762899132.2513893,3.15,4.17,1.13,92,2.86,4.21,0.97,86
1762899132.5191224,3.07,4.17,1.08,86,2.87,4.21,0.94,86
1762899132.771392,3.07,4.12,1.0,88,2.87,4.21,0.96,87
1762899133.0257516,3.04,4.17,1.08,84,2.86,4.23,0.91,84
1762899133.2829359,3.05,4.18,1.05,87,2.86,4.23,0.92,85
1762899133.5333502,3.12,4.2,1.17,94,2.88,4.22,0.93,86
1762899133.787819,3.07,4.21,1.05,86,2.86,4.24,0.93,85
1762899134.0435493,3.08,4.22,0.98,88,2.85,4.25,0.93,84
1762899134.299664,3.09,4.2,1.0,90,2.86,4.23,0.94,87
1762899134.551566,3.08,4.13,1.01,89,2.87,4.22,1.01,85
