timestamp,yaw,pitch,roll
1761698891.0505767,0.0,0.0,0.0
1761698891.871992,0.0,0.0,0.0
1761698892.6846747,0.0,0.0,0.0
1761698893.5423877,0.0,0.0,0.0
1761698894.3885949,0.0,0.0,0.0
1761698895.283278,0.0,0.0,0.0
1761698896.1477258,0.0,0.0,0.0
1761698896.982107,0.0,0.0,0.0
1761698897.8930848,0.0,0.0,0.0
1761698898.8360913,0.0,0.0,0.0
1761698899.692022,0.0,0.0,0.0
1761698900.5947447,0.0,0.0,0.0
1761698901.50119,0.0,0.0,0.0
1761698902.3920958,0.0,0.0,0.0
1761698903.2790058,0.0,0.0,0.0
1761698904.1260316,0.0,0.0,0.0
1761698905.0222623,0.0,0.0,0.0
1761698905.8767076,0.0,0.0,0.0
1761698906.7457557,0.0,0.0,0.0
1761698907.6694443,0.0,0.0,0.0
1761698908.6129532,0.0,0.0,0.0
1761698909.6045618,0.0,0.0,0.0
1761698910.4998643,0.0,0.0,0.0
1761698911.3878546,0.0,0.0,0.0
1761698912.2609825,0.0,0.0,0.0
1761698913.1777098,0.0,0.0,0.0
1761698914.0980124,0.0,0.0,0.0
1761698914.988725,0.0,0.0,0.0
1761698915.9089477,0.0,0.0,0.0
1761698916.7916794,0.0,0.0,0.0
1761698917.681976,0.0,0.0,0.0
1761698918.563256,0.0,0.0,0.0
1761698919.4578729,0.0,0.0,0.0
1761698920.3587525,0.0,0.0,0.0
1761698921.2155592,0.0,0.0,0.0
1761698922.161824,0.0,0.0,0.0
1761698923.041519,0.0,0.0,0.0
1761698923.938425,0.0,0.0,0.0
1761698924.881406,0.0,0.0,0.0
1761698925.75449,0.0,0.0,0.0
1761698926.684863,0.0,0.0,0.0
1761698927.5647373,0.0,0.0,0.0
1761698928.423757,0.0,0.0,0.0
1761698929.3129904,0.0,0.0,0.0
1761698930.2529757,0.0,0.0,0.0
1761698931.2252197,0.0,0.0,0.0
1761698932.165532,0.0,0.0,0.0
1761698933.0452876,0.0,0.0,0.0
1761698933.8902738,0.0,0.0,0.0
1761698934.7350574,0.0,0.0,0.0
1761698935.667336,0.0,0.0,0.0
1761698936.5770319,0.0,0.0,0.0
1761698937.5224094,0.0,0.0,0.0
1761698938.5089204,0.0,0.0,0.0
1761698939.455553,0.0,0.0,0.0
1761698940.3578606,0.0,0.0,0.0
1761698941.3174915,0.0,0.0,0.0
1761698942.3106349,0.0,0.0,0.0
