timestamp,px,py,pz,vx,vy,vz,yaw,pitch,roll
1765761405.0753658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.5455894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.5657763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.5801497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.8325636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.8447917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.8575516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.8695438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.881251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.892753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.9051416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.9181647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.9301615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.9448225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.957561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.970357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.9855707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761405.9984415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.0118341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.0252953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.038103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.0506465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.0628114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.0746984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.0875702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.4075742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.4223933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.4427645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.4591362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.4714372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.4899209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.5029993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.5148213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.5299404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.555565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.5732403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.5850308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.596728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.8156078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.827872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.8402057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.8519814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.863561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.8753319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.8872757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.8989012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.9107425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.9224253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.9340634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.9458618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.9576266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.969802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.9831493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761406.9954553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761407.0074377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761407.0191662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761407.0307717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765761407.043937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
