timestamp,count,velocity

1768516639.9008834,0,0.0

1768516641.5044875,0,0.0

1768516641.9554157,0,0.0

1768516641.968189,0,0.0

1768516641.979412,0,0.0

1768516641.9903536,0,0.0

1768516642.0013933,0,0.0

1768516642.0122354,0,0.0

1768516642.464604,0,0.0

1768516642.483538,0,0.0

1768516642.4972434,0,0.0

1768516642.516978,0,0.0

1768516642.852445,0,0.0

1768516642.863907,0,0.0

1768516642.8752015,0,0.0

1768516642.8862193,0,0.0

1768516642.8971207,0,0.0

1768516642.9079528,0,0.0

1768516642.9189765,0,0.0

1768516642.9304154,0,0.0

1768516642.9413538,0,0.0

1768516642.9523695,0,0.0

1768516642.9632251,0,0.0

1768516642.9753625,0,0.0

1768516642.986322,0,0.0

1768516642.9974878,0,0.0

1768516643.0088623,0,0.0

1768516643.0212762,0,0.0

1768516643.0333943,0,0.0

1768516643.4948423,0,0.0

1768516643.5332222,0,0.0

1768516644.003032,0,0.0

1768516644.028661,0,0.0

1768516644.047324,0,0.0

1768516644.6530988,0,0.0

1768516645.0483098,0,0.0

1768516645.0686803,0,0.0

1768516645.0938008,0,0.0

1768516645.1111863,0,0.0

1768516645.1409156,0,0.0

1768516645.1587527,0,0.0

1768516645.7555752,0,0.0

1768516646.172917,0,0.0

1768516646.1887279,0,0.0

1768516646.209215,0,0.0

1768516646.2342453,0,0.0

1768516646.2573335,0,0.0

1768516646.8792655,0,0.0

1768516647.3898795,0,0.0

1768516647.9305677,0,0.0

1768516648.3873599,0,0.0

1768516648.415704,0,0.0

1768516648.974212,0,0.0

1768516649.6156285,0,0.0

1768516649.9789267,0,0.0

1768516650.0061054,0,0.0

1768516650.0378237,0,0.0

1768516650.0539286,0,0.0

1768516650.07973,0,0.0

1768516650.0986652,0,0.0

1768516650.1162314,0,0.0

1768516650.7360759,0,0.0

1768516651.1204057,0,0.0

1768516651.1410522,0,0.0

1768516651.159987,0,0.0

1768516651.1796129,0,0.0

1768516651.2032375,0,0.0

1768516651.2219903,0,0.0

1768516651.2438662,0,0.0

1768516651.8662229,0,0.0

1768516652.327712,0,0.0

1768516652.3487945,0,0.0

1768516652.370341,0,0.0

1768516652.9063542,0,0.0

1768516653.4165978,0,0.0

1768516654.0152378,0,0.0

1768516654.6057754,0,0.0

1768516655.0559359,0,0.0

1768516655.0730252,0,0.0

1768516655.0943692,0,0.0

1768516655.119412,0,0.0

1768516655.774769,0,0.0

1768516656.123052,0,0.0

1768516656.156631,0,0.0

1768516656.1736932,0,0.0

1768516656.1939003,0,0.0

1768516656.2284086,0,0.0

1768516656.2496836,0,0.0

1768516656.2679174,0,0.0

1768516656.9098094,0,0.0

1768516657.3774848,0,0.0

1768516657.398929,0,0.0

1768516657.4299362,0,0.0

1768516658.0230534,0,0.0

1768516658.6037076,0,0.0

1768516659.2046275,0,0.0

1768516659.8736825,0,0.0

1768516660.263773,0,0.0

1768516660.284491,0,0.0

1768516660.3041537,0,0.0

1768516660.323529,0,0.0

1768516660.3398786,0,0.0

1768516660.3583207,0,0.0

1768516660.3818853,0,0.0

