timestamp,x1,y1,z1,quality1,x2,y2,z2,quality2
1769115070.0337005,,,,,,,,
1769115071.5409658,,,,,,,,
1769115073.4469473,2.86,1.2,1.71,72,,,,
1769115075.7241175,2.86,1.19,1.66,72,,,,
1769115077.6000226,2.86,1.19,1.65,70,2.71,0.83,1.53,62
1769115078.3409874,2.88,1.19,1.62,70,2.67,0.85,1.51,63
1769115079.0751233,2.86,1.17,1.59,69,2.65,0.87,1.54,62
1769115080.1668751,2.86,1.15,1.54,68,2.68,0.86,1.68,66
1769115080.9009008,2.84,1.22,1.52,71,2.7,0.86,1.73,66
1769115081.4401498,2.84,1.21,1.45,68,2.7,0.83,1.64,60
1769115082.1321504,2.85,1.23,1.54,71,2.69,0.84,1.72,65
1769115082.8605976,2.85,1.21,1.56,70,2.67,0.82,1.71,60
1769115083.441793,2.86,1.21,1.69,72,2.68,0.82,1.66,60
1769115084.1032932,2.88,1.21,1.67,69,2.71,0.83,1.75,65
1769115084.6543837,2.88,1.21,1.61,69,2.72,0.83,1.57,62
1769115085.3888614,2.87,1.19,1.6,67,2.7,0.87,1.82,64
1769115086.0864582,2.87,1.19,1.6,69,2.71,0.86,1.78,63
1769115086.6086206,2.87,1.18,1.57,70,2.69,0.89,1.67,65
1769115088.137782,2.86,1.2,1.59,72,2.73,0.82,1.58,62
1769115089.3467586,2.85,1.2,1.59,70,2.72,0.83,1.6,65
1769115090.403437,2.86,1.2,1.61,70,2.56,0.89,1.42,66
1769115091.368932,2.88,1.18,1.56,69,2.49,0.85,1.25,51
1769115092.2750382,2.86,1.2,1.56,70,2.57,0.85,1.36,59
1769115093.9007213,2.87,1.2,1.55,70,2.59,0.86,1.43,60
1769115094.8070116,2.87,1.21,1.54,70,2.6,0.86,1.46,60
1769115095.8882492,2.87,1.2,1.59,70,2.57,0.83,1.35,58
1769115096.8308604,2.87,1.2,1.6,69,2.68,0.9,1.68,62
1769115097.5958354,2.87,1.2,1.53,67,2.64,0.95,1.53,62
