timestamp,px,py,pz,vx,vy,vz,bax,bay,baz,bgx,bgy,bgz,yaw,pitch,roll
1762221525.063034,-0.1518537843730458,-0.07668120338635481,-0.01035214995476827,-3.1899400567904257,-1.6210934267438928,-0.5334024132704256,0.0,0.0,0.0,-0.01797351384544446,0.03640173564613494,0.0,-121.5645895395569,-35.48565328615926,159.8895842158045
1762221525.9619167,-0.11839715322120933,0.18284336107817825,0.6595441865469763,-2.798291587071547,0.5934153569307608,3.6940431827118263,0.0,0.0,0.0,0.09853039801394314,-0.12049374417947151,0.0,-163.5589744192305,33.13701001700818,-158.05917066732061
1762221526.331577,-0.7796403687454219,1.3815275027468186,0.8640703893013006,-4.30778846298586,7.540022653102746,2.3270350104877955,0.0,0.0,0.0,0.2340668469313284,-0.039917850243040995,0.0,-150.8423966860108,-35.63496144536811,52.00353692296569
1762221526.6654537,-1.2516613447084473,2.5347301485771867,1.0086613308372152,-3.4056574271632334,10.311673651676589,1.3671857047166802,0.0,0.0,0.0,0.3187165538939335,0.011124273656108519,0.0,178.07858438026454,-14.907952113980125,117.22896263036223
1762221527.2770882,-1.3680887327265179,1.2761290180832665,1.1837501440287093,-7.961254779611174,-1.5664112664560736,2.3115475334016367,0.0,0.0,0.0,0.062308136623540566,-0.1535867357884724,0.0,-110.6290458516358,7.870622521982105,-52.30794878181363
1762221527.7087975,-2.0230865306250982,3.8256173219115377,1.1492394505440693,-5.250564527270261,9.573813840026984,0.04666986004079732,0.0,0.0,0.0,0.324888286117035,0.025805673827661968,0.0,-169.36242298536484,-27.914282087201382,91.47768019589064
1762221528.0293348,-2.451586088140011,4.282817921025177,1.1427375244110018,-4.87334772096495,9.062786376756755,-0.7132451896374128,0.0,0.0,0.0,0.32355676135120615,0.026066620948221347,0.0,-163.3522857713826,-31.864752576027612,79.28339389299367
1762221528.2379732,-3.1392104758421966,2.111187724128866,1.3146765311308277,-8.41642820049266,1.9628858395690587,-0.42810455590758567,0.0,0.0,0.0,0.059861589529449755,-0.1498795899275758,0.0,-112.18202825610389,-12.701802946413874,-22.960018115779555
1762221528.4620347,-3.531868725560032,2.380473259952467,1.2773808717029616,-8.367044341015795,2.560417804846031,-0.7300960805154301,0.0,0.0,0.0,0.06533274657767724,-0.14841419614962825,0.0,-112.65789402297905,-15.91190006783323,-19.16340945254663
1762221528.6884835,-3.407109014589275,4.950574311864691,0.9799417241296662,-4.792396737872735,8.118955458565623,-1.7448416020942994,0.0,0.0,0.0,0.2899451648835455,0.012106333605209407,0.0,-147.9520829395529,-35.36522188456155,52.51837291211283
1762221528.9645367,-4.403859525457878,3.5310805757769823,1.0624852690480848,-7.771455774109339,4.714477215555762,-1.5178050785292108,0.0,0.0,0.0,0.10593737907386433,-0.11992084757678118,0.0,-117.90230194653103,-25.43119433693284,-3.254748314753126
1762221529.196837,-4.360640119584143,5.172412087998646,0.8976732421250135,-6.604828988656419,5.513221244969308,0.24851115911486574,0.0,0.0,0.0,0.2317569690975039,-0.01599289806669986,0.0,-136.51916380714704,-33.76605401606708,33.28314412902271
