timestamp,port,name,id,x,y,z,range
1762221541.6713638,/dev/ttyACM1,,,,,,
1762221541.9150503,/dev/ttyACM0,,,,,,
1762221541.9150503,/dev/ttyACM1,,,,,,
1762221542.1375685,/dev/ttyACM0,,,,,,
1762221542.1375685,/dev/ttyACM1,,,,,,
1762221542.3972123,/dev/ttyACM0,,,,,,
1762221542.3972123,/dev/ttyACM1,,,,,,
1762221542.6221116,/dev/ttyACM0,,,,,,
1762221542.6221116,/dev/ttyACM1,,,,,,
1762221542.850827,/dev/ttyACM0,,,,,,
1762221542.850827,/dev/ttyACM1,,,,,,
1762221543.1092136,/dev/ttyACM0,,,,,,
1762221543.1092136,/dev/ttyACM1,,,,,,
1762221543.3651783,/dev/ttyACM0,,,,,,
1762221543.3651783,/dev/ttyACM1,,,,,,
1762221543.5945635,/dev/ttyACM0,,,,,,
1762221543.5945635,/dev/ttyACM1,,,,,,
1762221543.8224685,/dev/ttyACM0,,,,,,
1762221543.8224685,/dev/ttyACM1,,,,,,
1762221544.0543208,/dev/ttyACM0,,,,,,
1762221544.0543208,/dev/ttyACM1,,,,,,
1762221544.3103588,/dev/ttyACM0,,,,,,
1762221544.3103588,/dev/ttyACM1,,,,,,
1762221544.5725281,/dev/ttyACM0,,,,,,
1762221544.5725281,/dev/ttyACM1,,,,,,
1762221544.803036,/dev/ttyACM0,,,,,,
1762221544.803036,/dev/ttyACM1,,,,,,
1762221545.032478,/dev/ttyACM0,,,,,,
1762221545.032478,/dev/ttyACM1,,,,,,
1762221545.3091402,/dev/ttyACM0,,,,,,
1762221545.3091402,/dev/ttyACM1,,,,,,
1762221545.601844,/dev/ttyACM0,,,,,,
1762221545.601844,/dev/ttyACM1,,,,,,
1762221545.8601031,/dev/ttyACM0,,,,,,
1762221545.8601031,/dev/ttyACM1,,,,,,
1762221546.1034875,/dev/ttyACM0,,,,,,
1762221546.1034875,/dev/ttyACM1,,,,,,
1762221546.382476,/dev/ttyACM0,,,,,,
1762221546.382476,/dev/ttyACM1,,,,,,
1762221546.629436,/dev/ttyACM0,,,,,,
1762221546.629436,/dev/ttyACM1,,,,,,
1762221546.9016595,/dev/ttyACM0,,,,,,
