timestamp,tag_id,x,y,z,quality
1771538426.1107926,0,4.409,0.109,0.348,48
1771538426.1107926,1,4.269,-0.195,0.464,56
1771538426.4341152,0,4.405,-0.072,0.315,48
1771538426.4341152,1,4.274,-0.17,0.468,53
1771538426.5080688,0,4.405,-0.072,0.315,48
1771538426.5080688,1,4.274,-0.17,0.468,53
1771538426.5317628,0,4.406,-0.125,0.307,47
1771538426.5317628,1,4.274,-0.17,0.468,53
1771538426.5732958,0,4.406,-0.125,0.307,47
1771538426.5732958,1,4.268,-0.164,0.469,56
1771538426.6190155,0,4.406,-0.125,0.307,47
1771538426.6190155,1,4.268,-0.164,0.469,56
1771538426.6804461,0,4.408,-0.193,0.323,50
1771538426.6804461,1,4.265,-0.092,0.473,57
1771538426.701539,0,4.408,-0.193,0.323,50
1771538426.701539,1,4.265,-0.092,0.473,57
1771538426.7294412,0,4.408,-0.193,0.323,50
1771538426.7294412,1,4.264,-0.053,0.469,56
1771538426.8725522,0,4.421,-0.219,0.318,49
1771538426.8725522,1,4.264,-0.053,0.469,56
1771538426.9205766,0,4.421,-0.219,0.318,49
1771538426.9205766,1,4.264,-0.016,0.473,57
1771538426.989264,0,4.418,-0.21,0.319,49
1771538426.989264,1,4.262,0.015,0.47,56
1771538427.013473,0,4.418,-0.21,0.319,49
1771538427.013473,1,4.262,0.015,0.47,56
1771538427.0415165,0,4.418,-0.21,0.319,49
1771538427.0415165,1,4.262,0.015,0.47,56
1771538427.0970414,0,4.409,-0.295,0.341,50
1771538427.0970414,1,4.262,0.011,0.477,57
1771538427.1356044,0,4.411,-0.327,0.349,50
1771538427.1356044,1,4.262,0.011,0.477,57
1771538427.1875713,0,4.411,-0.327,0.349,50
1771538427.1875713,1,4.266,0.048,0.486,58
1771538427.2127483,0,4.411,-0.327,0.349,50
1771538427.2127483,1,4.266,0.048,0.486,58
1771538427.2431035,0,4.411,-0.327,0.349,50
1771538427.2431035,1,4.267,0.093,0.481,56
1771538427.276685,0,4.415,-0.27,0.322,46
1771538427.276685,1,4.267,0.093,0.481,56
1771538427.3466895,0,4.423,-0.237,0.331,50
1771538427.3466895,1,4.266,0.107,0.493,58
1771538427.400289,0,4.423,-0.237,0.331,50
1771538427.400289,1,4.266,0.107,0.493,58
1771538427.474802,0,4.423,-0.237,0.331,50
1771538427.474802,1,4.279,0.104,0.493,57
1771538427.5659738,0,4.451,-0.117,0.282,42
1771538427.5659738,1,4.28,0.099,0.492,57
1771538427.6351018,0,4.453,-0.069,0.289,48
1771538427.6351018,1,4.292,0.097,0.476,54
